5
10
15
20
25
30
v,rs,rc,rhoc
-20,38062,-718.435,0.00305117
-19.5,38035.6,-656.389,0.00254867
-19,38093.1,-602.491,0.00214406
-18.5,38294.4,-562.32,0.00185786
-18,38561.9,-528.621,0.00163047
-17.5,38860.3,-498.26,0.00143743
-17,39158,-468.382,0.00126056
-16.5,39393.9,-433.879,0.0010752
-16,39315.7,-375.033,0.000804926
-15.5,38820.9,-283.45,0.000465662
-15,38438.6,-200.146,0.000234481
-14.5,38187.8,-126.121,9.37201e-05
-14,38049.5,-61.0599,2.20468e-05
-13.5,38006.6,-1.14147,7.71359e-09
-13,38029.9,55.4082,1.81637e-05
-12.5,38111.3,109.499,7.0786e-05
-12,38243.6,162.201,0.000154785
-11.5,38382.5,217.449,0.000277182
-11,38620.9,268.643,0.000420447
-10.5,38904.1,320.823,0.000595273
-10,39234.5,374.644,0.000804919
-9.5,39619.5,430.892,0.00105441
-9,40062.4,490.548,0.00135148
-8.5,40568.3,554.902,0.00170777
-8,41151.3,625.454,0.0021389
-7.5,41816.9,704.426,0.00266994
-7,42598.9,793.969,0.00332959
-6.5,43481.3,899.379,0.00418567
-6,44496,1025.61,0.00531895
-5.5,45681.7,1181.32,0.00687351
-5,47045.1,1380.54,0.00911515
-4.5,48636.6,1643.53,0.0124961
-4,50435.1,2008.79,0.0180019
-3.5,52530.1,2533.19,0.0274859
-3,54908.2,3329.35,0.0454219
-2.5,57532.7,4614.07,0.08326
-2,60718.2,6831.13,0.172921
-1.5,66526.6,11041.2,0.412305
-1,86034.1,20990.7,1.1523
-0.5,189875,59660.6,4.21784
0,0,0,-nan
0.5,180652,59343.1,4.38611
1,92606.6,20379.4,1.00908
1.5,74033.4,10460.7,0.332567
2,68213,6276.9,0.129959
2.5,63982.5,4149.42,0.0605477
3,60074.3,2965.08,0.0329281
3.5,56651.8,2249.6,0.0200992
4,53721.6,1788.69,0.0133999
4.5,51312.3,1469.31,0.00946647
5,49255.3,1240.76,0.00703245
5.5,47539.4,1067.41,0.00539256
6,46086.3,931.105,0.00423261
6.5,44867.1,819.969,0.0033717
7,43811.7,726.876,0.0027134
7.5,42904.5,646.724,0.0021934
8,42120.6,576.162,0.00177328
8.5,41436.7,512.926,0.00142859
9,40845.9,454.767,0.00113923
9.5,40333.1,400.277,0.000893803
10,39881.8,349,0.000687163
10.5,39489.5,299.846,0.000512267
11,39154.8,251.568,0.00036367
11.5,38897.5,203.296,0.000239068
12,38662.8,155.587,0.000140876
12.5,38471.2,107.656,6.77831e-05
13,38358.2,56.2271,1.85445e-05
13.5,38247.9,6.71607,2.65342e-07
14,38199.7,-45.7116,1.23077e-05
14.5,38228.7,-102.784,6.21788e-05
15,38350.4,-165.907,0.000161489
15.5,38620.4,-239.737,0.000334838
16,39398.5,-352.524,0.000709711
16.5,39895.3,-442.976,0.00110668
17,39571,-469.751,0.0012547
17.5,39221.5,-494.359,0.00140199
18,38885.9,-520.469,0.0015674
18.5,38567.5,-548.745,0.00175672
19,38292.9,-581.694,0.00198817
19.5,38177.5,-629.743,0.00233724
20,38545.6,-721.99,0.00304278
